English	Англыз бызшәа
Your contacts on Telegram	Шәҩызцәа Telegram аҿы
You	Шәара
Calling you...	Ҳау(б)засоит...
Start Messaging	Ҳалагап
Free	Хәыда-ԥсадоуп
Your Name	У(бы)хьӡ
Choose a country	У(б)тәыла алх
Your Phone	У(б)еимадага аҷыдаԥхьаӡа
Sync Contacts	Синхронизировать контакты
OK	Сақәшаҳаҭуп
Continue	ԥхьаҟа
Secure	Ишәарҭам
Terminate this session?	Ихыркәшатәума?
Customize	Иухатәны аҟаҵара
Sending you an SMS in %1$d:%2$02d	Иу(б)зааҳацҳаоит %1$d:%2$02d аамышьҭахь
Empty	Иҭацәуп
Fast	Иласуп
Owner	Изтәу
Powerful	Иӷәӷәоуп
yesterday	Иацы
Received	Иаашьҭуп
Saved Messages	Иaлкаау
Delete and exit	Зегь ныхны аҭыҵра
Forever	Еснагь
Always	Еснагь
Groups in Common	Еицышәзеиԥшу аилакқәа
Pinned Message	Еиҭамҵуа аҵҳамҭа
Done	Еиқәшәоуп
Total	Еизакны
typing...	дыҩуеит...
last seen	дҭан
Offline	Дҭаӡам
Welcome to Telegram	Бзиала у(б)аабеит!
Invite Friends	Аҩызцәа рааԥхьара
Send	Ашьҭра
Add	Ацҵара
Help	Ацхыраара
First name (required)	Ахьӡ (ихарҭәаатәу)
Pin to top	Ахықәцә адыркылара
Copy	Ахкьыԥхьаара
Username	Ахархәаҩ ихьӡ
Delete and stop	Аус аанкыланы алҵра
Contacts	Ауаа
People	Ауаа
Log out	Аҭыҵра
History cleared.	Аҭоурых рыцқьоуп
History was cleared	Аҭоурых рыцқьоуп
Clear history	Аҭоурых рыцқьара
Reply	Аҭак ҟаҵара
Remove photo	Асахьа аныхра
Clear history	Арыцқьара аҭоурых
Sorry, this username is already taken.	Ари ахьӡ аӡәы и(л)тәуп.
Custom Notifications	Ардырга ҷыдақәа
Mute notifications	Ардырга арцәара
Notifications	Ардырга
Pin	Арӷәӷәара
UNDO	АԤЫХРА
Cancel	Аԥыхра
Delete	Аныхра
Forward to...	Анашьҭра...
Unpin	Амхра
Privacy and Security	Амаӡара
Privacy	Амаӡара
Poll Results	Алҵшәақәа
LED	Алашардырга
Leave Channel	Аканал аҭыҵреи
Manage Channel	Аканал анапхгара
New Secret Chat	Аиҿцәажәа маӡа ҿыц
New conversation	Аицәажәара ҿыц
Chat deleted	Аицәажәара ныхуп
You joined the secret chat.	Аицәажәара маӡа уа(ба)цлеит.
Secret chat cancelled	Аицәажәара маӡа аԥыхуп
Are you sure you want to delete this chat?	Аицәажәара анышәхар шәҭахыҵәҟоума?
Delete chat	Аицәажәара аныхра
Select Chat	Аицәажәара алх
Repeat Notifications	Аиҭардыргақәа
Connecting	Аиԥшьра
Connecting...	Аимадара...
Waiting for network...	Аимадара хазыԥшуеит...
Contact	Аимадара
New Group	Аилак ҿыц
Group deleted.	Аилак ныхуп
Channel created	Аилак еиҿкаауп
Switch	Аиасра
Link is invalid or expired.	Азхьарԥш иашамзар ма иажәхьазар ҟалап.
Copy Link	Азхьарԥш ахкьыԥхьаара
New Channel	Азаацҳага ҿыц
Channel deleted.	Азаацҳага ныхуп
Channel photo removed	Азаацҳага асахьа ныхуп
Last name (optional)	Ажәла (ихарҭәаатәым)
Data and Storage	Адыррақәеи агәынкылақәеи
Vibrate	Адырдырратә рдырга
Unpin from top	Адхра
Add Account	Адаҟьа ацҵара
Manage Group	Агәыԥ анапхгара
Save to gallery	Агалереиаҿы аҭаҩра
Video message	Авидеонҵамҭа
Voice message	Абжьынҵа
Mute	Абжьы агырхара
Messages	Аацҳарақәа
You have a new message	Аацҳара ҿыц шәзааит
Start messaging by tapping the pencil button in the bottom right corner.	Аацҳара аҩра азы,ҵаҟа арыӷьараҿы аҩыга дырга у(б)агәҭас.
Start messaging by tapping one of your contacts below.	Аацҳара аҩра азы,ҵаҟа арыӷьараҿы аҩыга дырга у(б)агәҭас.
Message	Аацҳамҭа
Recent	Ааиӷәатәи
un1 pinned %1$s	un1 иади(лы)ркылт %1$s
"un1 pinned \""%1$s\"""	un1 иади(лы)ркылт «%1$s»
un1 pinned a video message	un1 авидеонҵамҭа ади(лы)ркылт
un1 pinned a video	un1 авидео ади(лы)ркылт
un1 pinned a voice message	un1 абжьынҵа ади(лы)ркылт
un1 pinned an audio file	un1 абжьынҵа ади(лы)ркылт
Telegram FAQ	Telegram иазку азҵаарақәа
Settings	Aрхиага
Priority	Aԥыжәара
Start Secret Chat	Aиҿцәажәа маӡа алагара
Add to contacts	Aимадара ацҵара
Ask a Question	Aзҵаара аҭира
Report	Aзашшра
Groups	Aгәыԥқәа
Leave group	Aгәыԥ аҭыҵреи
Unmute	Aбжьы ацҵара
%1$s joined Telegram!	%1$s Уажәшьҭа телеграм дҭоуп!
Mute for %1$s	%1$s ирцәазааит
%1$s are typing...	%1$s иркьыԥхьуеит…
%1$s is typing...	%1$s дыҩуеит...
Add %1$s to the group?	%1$s аилак далау(б)ҵома?
Search	Аԥшаара
**Telegram** is free forever. No ads.\nNo subscription fees.	**Telegram** хәыда-ԥсадоуп. Наӡаӡа. Ӡыргарада.
**Telegram** has no limits on\nthe size of your media and chats.	**Telegram** ацәгьархәыцыҩцәа шәеицәажәарақәа иацәахьчоит.
**Telegram** delivers messages faster than\nany other application.	**Telegram** агьырҭ раасҭа иаҳа иласуп.
%s joined your secret chat.	 %s аицәажәара маӡа уа(ба)лиҵит.
